score,startHere,date,versionOrder,versionPages,pageCount,lane,tags,question,bernsteinNote,title,documentType,sourceClass,sourceUrl,pdfUrl,sourceNote
117,no,1993-10-25,11,41-46,6,constraints/diplomacy,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"Secretary Christopher's Meeting with President Yeltsin, 10/22/93, Moscow",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Jan. 1993-Dec. 1994, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 7-12. Secret; Nodis."
101,no,1993-12-31,12,47-54,8,how/process,Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Your Trip to Prague,Presidential briefing memorandum,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 6-13. Confidential."
103,no,1994-01,13,55-59,5,candidate-state cases,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Meeting with Czech President Havel and Premier Klaus,Presidential meeting brief,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 14-18. Confidential."
57,no,1994-01-12,14,60-61,2,core expansion policy,Bureaucratic Process; Candidate Selection,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Background: Business-Related Event at K-Mart,Briefing paper,nara-catalog,https://catalog.archives.gov/id/368557013,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/7585709-20170413F-002-008-2024.pdf,"Source: National Archives Catalog, Briefing Books - POTUS Trip to Prague, Czech Republic, January 11-12, 1994, NAID 368557013, PDF pages 37-38. Confidential."
93,no,1994-01-12,15,62-70,9,candidate-state cases,Presidential Choice; Russia Constraint; Candidate Selection; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"Draft Memcon - President's Bilateral with Polish President Walesa, Premier Pawlak",Cable transmitting memcon,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 13-21. Nodis."
30,no,1994-01-13,16,71-74,4,candidate-state cases,Russia Constraint; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for russia constraint, candidate selection questions.",Prague Assessment: Hungarians Very Upbeat,Cable,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 64-67. Confidential."
93,no,1994-04-18,17,75-79,5,core expansion policy,Presidential Choice; Bureaucratic Process; Russia Constraint; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Deputy Secretary's Meeting in Warsaw with President Walesa,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 22-26."
103,no,1994-06-24,18,80-84,5,candidate-state cases,Presidential Choice; Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Foreign Minister Urges President Clinton to Focus on Polish Security During Visit,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 35-39."
213,yes,1994-09-17,19,85-88,4,how/process,Alternatives; Bureaucratic Process; Russia Constraint; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",NATO Expansion: Concept and Strategy,Policy paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118731,https://clinton.presidentiallibraries.us/files/original/3a5e05a367487bd0097cd36c04a644c6.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2017-0193-M, Clinton Digital Library, PDF pages 1-4. Secret/Sensitive."
239,yes,1994-09-21,20,89-96,8,whether/whom/when,Alternatives; Bureaucratic Process; Russia Constraint; Candidate Selection; Open Door Deferral; Ratification Public Case,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",Next Steps on NATO Expansion: Hard Questions,Policy paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118731,https://clinton.presidentiallibraries.us/files/original/3a5e05a367487bd0097cd36c04a644c6.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2017-0193-M, Clinton Digital Library, PDF pages 5-12. Secret/Sensitive."
59,no,1994-10-03,21,97-98,2,core expansion policy,Russia Constraint; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",NATO expansion and Summit Follow-up,GC,state-foia,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000143/C09000143.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000143/C09000143.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000143. RELEASE IN FULL."
207,yes,1994-10-04,22,99-107,9,core expansion policy,Alternatives; Bureaucratic Process; Russia Constraint; Candidate Selection; Open Door Deferral,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Moving Toward NATO Expansion,NSC staff memorandum with policy papers,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 55-63. Secret/Confidential."
109,no,1994-10-13,23,108-113,6,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",NATO Expansion,Presidential information memorandum with NSC staff paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 71-76. Secret."
213,yes,1994-10-14,24,114-121,8,how/process,Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Moving Toward NATO Expansion,NSC staff paper with transmittal memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 93-100. Secret."
69,no,1994-11-03,25,122-124,3,core expansion policy,Bureaucratic Process; Russia Constraint; Allied Politics,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Inter-Agency Presentation on NATO - Germany,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 45-47. Exdis."
103,no,1994-12-21,26,125-129,5,constraints/diplomacy,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Meeting with the Vice President on Russia and NATO Expansion,Presidential briefing memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 103-107. Confidential."
199,yes,1994-12-22,27,130-135,6,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Candidate Selection; Open Door Deferral,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","European Security Architecture, NATO Expansion and Russia",NSC action memorandum with conceptual paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 116-121. Secret."
93,no,1994-12-29,28,136-138,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,President Yeltsin to President Clinton on NATO Enlargement,Presidential correspondence,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0161 DC Meeting on NATO-Russia Relationship, January 9, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 64-66."
111,no,1995,29,139-140,2,candidate-state cases,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Ratification Public Case,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Points to Be Made at Dinner with Czech President Havel,Presidential talking points,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 1-2. Confidential."
93,no,1995-01-06,30,141-142,2,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,President Clinton to President Yeltsin on NATO Expansion and Chechnya,Presidential message cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0161 DC Meeting on NATO-Russia Relationship, January 9, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 68-69. Confidential; declassified in part."
223,yes,1995-01-25,31,143-148,6,how/process,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",NATO Expansion: Getting From Here to There,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 9-14. Confidential; Exdis."
73,no,1995-01-30,32,149-152,4,candidate-state cases,Russia Constraint; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",A/S Holbrooke Briefs PM Pawlak on NATO Expansion; Urges Greater Political Stability,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 50-53."
83,no,1995-02-01,33,153-161,9,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Allied Politics,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","The Secretary's Meeting with EU Presidency/French Foreign Minister Juppe and European Commissioner Brittan, January 26, 1995 at the State Department",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 15-23. Confidential."
57,no,1995-02-07,34,162-165,4,candidate-state cases,Bureaucratic Process; Candidate Selection,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",The Secretary's Meeting with Polish PM Pawlak,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 54-57. Nodis."
97,no,1995-02-11,35,166-185,20,constraints/diplomacy,Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Working Lunch with Prime Minister Jean-Luc Dehaene of Belgium,Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 85-104. Confidential."
73,no,1995-02-15,36,186-188,3,core expansion policy,Russia Constraint; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Ukrainian Views on NATO Expansion; Ukraine and PFP,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 24-26. Confidential."
89,no,1995-02-28,37,189-200,12,core expansion policy,Presidential Choice; Russia Constraint; Allied Politics; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"The President's Working Lunch with Wim Kok, Prime Minister of the Netherlands",Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 126-137. Confidential."
115,no,1995-03,38,201-202,2,constraints/diplomacy,Alternatives; Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Annex to Clinton-Yeltsin Letter: NATO's Evolution Since 1990,Annex,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 77-78."
73,no,1995-03,39,203-203,1,constraints/diplomacy,Bureaucratic Process; Russia Constraint,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Elements of a Russian Reply,Talking points,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF page 81. Confidential/Nodis."
73,no,1995-03,40,204-205,2,constraints/diplomacy,Russia Constraint; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Possible Content of a Letter from the Russian Side,Translation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 79-80. Secret."
93,no,1995-03,41,206-208,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,President Clinton to President Yeltsin on NATO-Russia Relations,Draft presidential correspondence,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 74-76. Secret."
77,no,1995-03-02,42,209-218,10,candidate-state cases,Presidential Choice; Bureaucratic Process; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",EUR Assistant Secretary A/S Holbrooke's Meeting with President Iliescu,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 58-67."
87,no,1995-03-02,43,219-220,2,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Status of NATO-Russia Process,Decision paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 72-73. Confidential."
75,no,1995-03-03,44,221-224,4,how/process,Candidate Selection; Bureaucratic Process,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",NATO Expansion: U.S. Views on Military Implications,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 28-31. Confidential."
